"numbers","solutions","solvable","amt","solved_rate","mean_time","std_time"
"[1,6,6,9]","['(9+1-6)×6']",true,7.38,0.9059999999999999,7.87,3.37
"[1,6,6,10]","['(10-6)×6×1']",true,6.94,0.9359999999999999,7.29,3.12
"[1,6,6,11]","['11+6+6+1','(11-6-1)×6','6×6-11-1']",true,5.75,0.983,6.23,2.24
"[1,6,6,12]","['(12+6+6)×1','(6×6-12)×1','(6/6+1)×12']",true,5.27,0.988,5.59,1.7
"[1,6,6,13]","['13+6+6-1','6×6+1-13']",true,6.47,0.9740000000000001,6.87,2.48
"[1,6,7,9]","['(7+1)×(9-6)']",true,11.67,0.8440000000000001,11.36,4.68
"[1,6,7,10]","['10+7+6+1','(10+1-7)×6','(7-1)×(10-6)']",true,6.01,0.986,6.57,2.26
"[1,6,7,11]","['(11-7)×6×1','(6-1)×7-11','(11+7+6)×1']",true,6.56,0.973,7.16,2.88
"[1,6,7,12]","['12+7+6-1','(7+1-6)×12','(12-7-1)×6','(7-1)×6-12']",true,5.61,0.986,6.03,2.01
"[1,6,8,8]","['(8+1-6)×8','8/(8/6-1)']",true,7.08,0.932,7.41,2.98
"[1,6,8,9]","['9+8+6+1','(9-6)×8×1','8/(1-6/9)']",true,6.14,0.983,6.57,2.35
"[1,6,8,10]","['(10-6-1)×8','(10+8+6)×1','6/(10/8-1)']",true,6.65,0.973,7.09,2.43
"[1,6,8,11]","['11+8+6-1','(11+1-8)×6','(11+1)×(8-6)']",true,6.86,0.978,7.32,2.45
"[1,6,8,12]","['(12-8)×6×1','(8-6)×12×1','(12/6+1)×8']",true,5.4,0.971,5.79,2
"[1,6,8,13]","['(13-8-1)×6','(13-1)×(8-6)']",true,7.34,0.945,7.79,2.87
"[1,6,9,9]","['(9-1)×(9-6)','(9+9+6)×1']",true,6.5,0.975,6.94,2.51
"[1,6,9,10]","['10+9+6-1','(10/6+1)×9']",true,9.62,0.922,9.93,3.85
"[1,6,9,12]","['(9-6-1)×12','(12+1-9)×6','12/(9/6-1)','6/(1-9/12)']",true,5.71,0.9570000000000001,6.08,2.11
"[1,6,9,13]","['(13-9)×6×1']",true,7.97,0.9079999999999999,8.36,4.08
"[1,6,10,12]","['12×10/(6-1)']",true,21.92,0.6579999999999999,14.81,8.32
"[1,6,10,13]","['(13+1-10)×6']",true,8.64,0.882,8.87,4.22
"[1,6,11,12]","['(11+1)×12/6']",true,8.28,0.889,8.3,2.96
"[1,6,11,13]","['(13×11+1)/6']",true,55.57,0.385,19.72,10.9
"[1,6,12,12]","['12×12×1/6','12/(1-6/12)']",true,6.06,0.945,6.44,2.43
"[1,6,12,13]","['(13-1)×12/6']",true,8.59,0.894,8.68,3.35
"[1,7,7,9]","['9+7+7+1']",true,7.19,0.961,7.57,2.88
"[1,7,7,10]","['(7+1)×(10-7)','(10+7+7)×1']",true,5.76,0.98,6.19,2.13
"[1,7,7,11]","['11+7+7-1','(7-1)×(11-7)']",true,6.7,0.97,7.28,2.64
"[1,7,7,12]","['(7/7+1)×12']",true,6.17,0.89,6.31,2.35
"[1,7,8,8]","['8+8+7+1']",true,6.16,0.9670000000000001,6.67,2.66
"[1,7,8,9]","['(9+1-7)×8','(9+8+7)×1']",true,6.02,0.972,6.46,2.29
"[1,7,8,10]","['10+8+7-1','(10-7)×8×1']",true,6.02,0.977,6.47,2.31
"[1,7,8,11]","['(7+1)×(11-8)','(11-7-1)×8']",true,7.17,0.927,7.51,3.06
"[1,7,8,12]","['(8+1-7)×12','(7-1)×(12-8)']",true,6.58,0.956,7.03,2.67
"[1,7,9,9]","['9+9+7-1']",true,7.56,0.948,8.02,3.16
"[1,7,9,10]","['(9-1)×(10-7)']",true,10.1,0.8690000000000001,9.98,3.97
"[1,7,9,11]","['(11+1)×(9-7)']",true,10.68,0.856,10.5,4.31
"[1,7,9,12]","['(7+1)×(12-9)','(9-7)×12×1']",true,5.71,0.9620000000000001,6.11,2.22
"[1,7,9,13]","['(7-1)×(13-9)','(13-1)×(9-7)']",true,7.35,0.9390000000000001,7.63,2.61
"[1,7,10,12]","['(10-7-1)×12','10/(1-7/12)']",true,7.28,0.9279999999999999,7.71,3.12
"[1,7,10,13]","['(7+1)×(13-10)']",true,10.91,0.835,10.49,4.66
"[1,7,12,12]","['12×12/(7-1)']",true,9.85,0.805,9.12,4.5
"[1,7,12,13]","['(13+1)×12/7']",true,29.06,0.5579999999999999,15.69,9.56
"[1,7,13,13]","['(13×13-1)/7']",true,48.91,0.41200000000000003,14.87,9.19
"[1,8,8,8]","['(8+8+8)×1']",true,5.29,0.9790000000000001,5.62,1.91
"[1,8,8,9]","['9+8+8-1']",true,6.44,0.965,6.96,2.68
"[1,8,8,10]","['(10+1-8)×8']",true,7.11,0.9229999999999999,7.5,3.03
"[1,8,8,11]","['(11-8)×8×1']",true,7.14,0.935,7.64,3.52
"[1,8,8,12]","['(12-8-1)×8','(8/8+1)×12','8/(1-8/12)']",true,5.64,0.963,5.95,1.91
"[1,8,9,11]","['(11+1-9)×8','(9-1)×(11-8)','9/(11/8-1)']",true,7.42,0.9279999999999999,7.71,3.07
"[1,8,9,12]","['(12-9)×8×1','(9+1-8)×12','8/(12/9-1)']",true,5.54,0.9640000000000001,5.88,1.97
"[1,8,9,13]","['(13-9-1)×8']",true,7.67,0.915,8.14,3.68
"[1,8,10,11]","['(11+1)×(10-8)']",true,10.18,0.873,10.17,3.5
"[1,8,10,12]","['(12+1-10)×8','(10-8)×12×1']",true,5.92,0.958,6.23,2.19
"[1,8,10,13]","['(13-10)×8×1','(13-1)×(10-8)']",true,6.27,0.948,6.61,2.4
"[1,8,11,12]","['(11-8-1)×12']",true,7.44,0.9159999999999999,7.97,3.47
"[1,8,11,13]","['(13+1-11)×8']",true,8.23,0.883,8.41,3.59
"[1,8,12,12]","['12/(12/8-1)']",true,104.58,0.293,21.9,13.81
"[1,9,9,12]","['(9-1)×(12-9)','(9/9+1)×12']",true,5.48,0.958,5.78,1.81
"[1,9,10,12]","['(10+1-9)×12']",true,6.97,0.9390000000000001,7.35,2.83
"[1,9,10,13]","['(9-1)×(13-10)']",true,10.99,0.836,10.53,4.58
"[1,9,11,11]","['(11+1)×(11-9)']",true,7.77,0.9009999999999999,7.97,3.09
"[1,9,11,12]","['(11-9)×12×1']",true,6.78,0.938,7.29,3.09
"[1,9,11,13]","['(13-1)×(11-9)']",true,9.62,0.8759999999999999,9.79,4.2
"[1,9,12,12]","['(12-9-1)×12']",true,6.54,0.929,6.93,2.79
"[1,10,10,12]","['(10/10+1)×12']",true,6.04,0.9259999999999999,6.27,2.12
"[1,10,11,12]","['(11+1-10)×12','(11+1)×(12-10)']",true,6.74,0.9490000000000001,7.15,2.56
"[1,10,12,12]","['(12-10)×12×1']",true,6.31,0.9590000000000001,6.89,2.91
"[1,10,12,13]","['(13-10-1)×12','(13-1)×(12-10)']",true,7.2,0.945,7.58,2.85
"[1,11,11,12]","['(11/11+1)×12']",true,5.95,0.9359999999999999,6.19,2.22
"[1,11,11,13]","['(11+1)×(13-11)','(13/11+1)×11']",true,10.33,0.875,10.27,4.31
"[1,11,12,12]","['(12+1-11)×12']",true,7.04,0.943,7.62,3.19
"[1,11,12,13]","['(13-11)×12×1']",true,7.44,0.943,7.87,3.18
"[1,11,13,13]","['(13-1)×(13-11)','(11/13+1)×13']",true,8.79,0.9129999999999999,9.1,3.85
"[1,12,12,12]","['(12/12+1)×12']",true,6.74,0.938,6.95,2.57
"[1,12,12,13]","['(13+1-12)×12']",true,7.44,0.9440000000000001,7.97,3.27
"[1,12,13,13]","['(13/13+1)×12']",true,5.96,0.945,6.29,2.18
"[2,2,2,3]","['(2+2)×3×2','3×2×2×2']",true,5.71,0.99,5.97,1.71
"[2,2,2,4]","['(4+2)×(2+2)','(2+2+2)×4','(4+2)×2×2','(2×2+2)×4']",true,6.8,0.961,7.15,2.49
"[2,2,2,5]","['(5×2+2)×2']",true,10.29,0.787,9.3,4.85
"[2,2,2,7]","['(7×2-2)×2']",true,13.48,0.728,10.26,6.18
"[2,2,2,8]","['(8-2)×(2+2)','(8+2+2)×2','(8-2)×2×2','(2×2+8)×2','(2/2+2)×8']",true,6.29,0.9640000000000001,6.86,2.72
"[2,2,2,9]","['(9+2)×2+2']",true,14.13,0.757,11.48,6.62
"[2,2,2,10]","['10×2+2+2','10×2+2×2']",true,7.75,0.9390000000000001,8.18,3.36
"[2,2,2,11]","['(2/2+11)×2','(11+2)×2-2']",true,6.62,0.9229999999999999,6.97,2.8
"[2,2,2,12]","['(2+2)×12/2','(2×2-2)×12','12×2+2-2']",true,5,0.992,5.36,1.71
"[2,2,2,13]","['(13-2/2)×2','(13-2)×2+2']",true,6.84,0.935,7.23,2.8
"[2,2,3,3]","['(3+3)×(2+2)','(3+3)×2×2','(3×2+2)×3']",true,8.01,0.934,8.35,3.24
"[2,2,3,4]","['(4+2+2)×3','(2×2+4)×3']",true,15.01,0.772,13.14,6.06
"[2,2,3,5]","['(5×2-2)×3']",true,40.25,0.511,16.11,9.45
"[2,2,3,6]","['(2/2+3)×6','(6-2)×3×2','(3×2-2)×6','(3×2+6)×2']",true,9.14,0.917,9.46,4.14
"[2,2,3,7]","['(2/2+7)×3','(7+3+2)×2']",true,8.26,0.884,8.57,3.86
"[2,2,3,8]","['8×3+2-2','(8+3)×2+2']",true,5.3,0.982,5.68,1.89
"[2,2,3,9]","['(9-3)×(2+2)','(9-3)×2×2','(9-2/2)×3','9×2+3×2','(2/3+2)×9']",true,7.34,0.948,7.83,2.9
"[2,2,3,10]","['(10+3)×2-2']",true,36.04,0.547,18.71,10.73
"[2,2,3,11]","['(11+3-2)×2']",true,9.31,0.861,9.3,4.21
"[2,2,3,12]","['(2+2)×3+12','(12-2-2)×3','3×2×2+12','(12-2×2)×3','(3-2/2)×12','(3-2)×12×2','12/(2-3/2)','(12/2+2)×3']",true,5.78,0.982,6.21,2.05
"[2,2,3,13]","['(13+2-3)×2']",true,8.69,0.875,8.75,3.74
"[2,2,4,4]","['(4×2-2)×4','(4×2+4)×2']",true,20.23,0.716,15.55,8.4
"[2,2,4,5]","['5×4+2+2','(2+2)×5+4','5×4+2×2','5×2×2+4','(2/2+5)×4','(5-2)×4×2']",true,6.25,0.983,6.61,2.08
"[2,2,4,6]","['6×4+2-2','(4+2)×(6-2)','(6+4+2)×2','(4-2)×6×2','(4/2+2)×6']",true,5.58,0.99,5.93,1.88
"[2,2,4,7]","['7×4-2-2','(2+2)×7-4','7×4-2×2','7×2×2-4','(7-2/2)×4','(7+4)×2+2']",true,7.47,0.9520000000000001,8.13,3.16
"[2,2,4,8]","['(2+2)×4+8','4×2×2+8','(4-2/2)×8','(4+2)×8/2','8×2+4×2','(8+2)×2+4','(8×2-4)×2','(8/2+2)×4']",true,7.96,0.9590000000000001,8.49,3.1
"[2,2,4,9]","['9×2+4+2','(9+4)×2-2']",true,9.94,0.904,10.16,4.44
"[2,2,4,10]","['(10-4)×(2+2)','(10-2-2)×4','(10-4)×2×2','(10-2×2)×4','(10+4-2)×2','(10+2)×(4-2)','(10+2)×4/2','(4/2+10)×2']",true,7.74,0.9440000000000001,8.11,2.94
"[2,2,4,11]","['11×2+4-2','(4-2)×11+2','11×4/2+2','11×2+4/2']",true,8.28,0.9179999999999999,8.72,3.72
"[2,2,4,12]","['(4+2)×2+12','(12+2)×2-4','(12-2)×2+4']",true,20.54,0.757,16.22,9.62
"[2,2,4,13]","['13×2+2-4','(4-2)×13-2','13×4/2-2','13×2-4/2']",true,8.74,0.9109999999999999,9.24,4.19
"[2,2,5,5]","['5×5-2/2','(5+5+2)×2']",true,6.73,0.934,7.1,2.49
"[2,2,5,6]","['(5-2/2)×6','(6+2)×(5-2)','(6+5)×2+2']",true,9.16,0.885,9.47,4.58
"[2,2,5,7]","['7×2+5×2']",true,9.19,0.892,9.23,3.72
"[2,2,5,8]","['(8+5)×2-2']",true,26.55,0.632,17.21,9.35
"[2,2,5,9]","['(9+5-2)×2']",true,14.53,0.7390000000000001,12.14,6.46
"[2,2,5,10]","['(5+2)×2+10','(10-2)×(5-2)','(2/5+2)×10','(10×5-2)/2']",true,15.47,0.7829999999999999,13.87,6.02
"[2,2,5,11]","['(11-5)×(2+2)','(11-5)×2×2']",true,9.36,0.877,9.67,4.57
"[2,2,5,12]","['5×2+12+2','12/(5/2-2)']",true,11.08,0.8440000000000001,10.84,5.23
"[2,2,6,6]","['(6+2)×6/2','6×2+6×2']",true,7.57,0.96,8.1,3.08
"[2,2,6,7]","['(7+2)×2+6','(7+6)×2-2']",true,17.37,0.7240000000000001,13.71,7.25
"[2,2,6,8]","['(8-2-2)×6','(8-2×2)×6','8×2+6+2','(6+2)×2+8','(8+6-2)×2','(8-2)×(6-2)']",true,9.41,0.955,9.83,3.55
"[2,2,6,9]","['(6/2+9)×2','(9×2-6)×2']",true,38.12,0.516,19,10.81
"[2,2,6,10]","['6×2+10+2','10×2+6-2','(10-2)×6/2']",true,8.38,0.9540000000000001,8.81,3.08
"[2,2,6,11]","['(11-2)×2+6']",true,26.25,0.622,19.02,8.98
"[2,2,6,12]","['(12-6)×(2+2)','(6-2-2)×12','(12-6)×2×2','(6-2×2)×12','(6-2)×12/2','(12/2-2)×6','(12/2+6)×2']",true,8.01,0.941,8.59,3.57
"[2,2,6,13]","['(13+2)×2-6']",true,74.75,0.33399999999999996,31.47,17.1
"[2,2,7,7]","['(7+7-2)×2']",true,15.7,0.6970000000000001,11.73,6.19
"[2,2,7,8]","['(7-2-2)×8','(7-2×2)×8','7×2+8+2']",true,7.62,0.9359999999999999,8,3.05
"[2,2,7,10]","['(10/2+7)×2']",true,32.81,0.532,17.19,9.45
"[2,2,7,12]","['7×2+12-2']",true,10.6,0.836,10.24,4.65
"[2,2,7,13]","['13+7+2+2','(13-7)×(2+2)','2×2+13+7','(13-7)×2×2']",true,7.27,0.963,7.68,2.9
"[2,2,8,8]","['(2+2)×8-8','8×2×2-8','(8-2)×8/2','(8/2+8)×2']",true,10.62,0.9129999999999999,10.93,4.78
"[2,2,8,9]","['9×2+8-2']",true,11.62,0.868,11.84,5.24
"[2,2,8,10]","['8×2+10-2','10×2+8/2','(10×2-8)×2','(10-2)×2+8','(10/2-2)×8']",true,8.74,0.9440000000000001,9.31,3.29
"[2,2,8,12]","['12+8+2+2','12×8/(2+2)','12×8/2/2','2×2+12+8','(8-2)×2+12','(8/2-2)×12']",true,6.71,0.981,7.14,2.32
"[2,2,9,10]","['(9-2)×2+10']",true,19.64,0.655,14.61,7.52
"[2,2,9,11]","['11+9+2+2','2×2+11+9']",true,7.89,0.917,8.18,3.26
"[2,2,9,12]","['(2+2)×9-12','9×2×2-12','9×2+12/2']",true,17.89,0.7290000000000001,15.37,6.65
"[2,2,10,10]","['10+10+2+2','2×2+10+10']",true,4.81,0.982,5.11,1.61
"[2,2,10,11]","['(11×2-10)×2']",true,98.41,0.308,26.78,17.49
"[2,2,10,13]","['2/2+13+10']",true,7.17,0.9,7.38,3.11
"[2,2,11,11]","['(2/11+2)×11']",true,63.59,0.396,14.07,9.37
"[2,2,11,12]","['2/2+12+11']",true,6.12,0.925,6.52,2.55
"[2,2,11,13]","['13+11+2-2']",true,6.05,0.981,6.62,2.43
"[2,2,12,12]","['12+12+2-2','(12×2-12)×2']",true,5.77,0.986,6.27,2.24
"[2,2,12,13]","['13+12-2/2']",true,7.02,0.9259999999999999,7.33,2.67
"[2,2,13,13]","['(2-2/13)×13']",true,68.63,0.368,15.35,9.38
"[2,3,3,3]","['(3+3+2)×3','(3×3+3)×2']",true,13.24,0.8220000000000001,12.17,6.04
"[2,3,3,5]","['(5+2)×3+3','(5×3-3)×2']",true,22.25,0.6940000000000001,16.57,8.96
"[2,3,3,6]","['6×3+3×2','3×3×2+6','(3+3-2)×6','(3+3)×(6-2)','(6+3+3)×2']",true,8.07,0.963,8.53,2.96
"[2,3,3,7]","['(7-3)×3×2','(7+3-2)×3','(7+2)×3-3']",true,8.63,0.919,8.99,3.71
"[2,3,3,8]","['(3×2-3)×8','(3-2)×8×3','(3+3)×8/2','(3/3+2)×8']",true,5.62,0.97,6,1.96
"[2,3,3,9]","['(3+2)×3+9','(9+2-3)×3','9×2+3+3','(9-2)×3+3']",true,9.43,0.9309999999999999,9.83,3.78
"[2,3,3,10]","['10×3-3×2','(10/2+3)×3']",true,11.58,0.85,11.59,5.02
"[2,3,3,11]","['(11-2)×3-3','(3/3+11)×2']",true,7.37,0.897,7.69,3.36
"[2,3,3,12]","['12×2+3-3','(3+3)×2+12']",true,5.48,0.986,5.96,2.06
"[2,3,3,13]","['(13-3-2)×3','(13+3)×3/2','3×3+13+2','(13-3/3)×2']",true,7.17,0.94,7.73,3
"[2,3,4,4]","['(3+2)×4+4','4×4×3/2','(4-2)×4×3']",true,9.43,0.9420000000000001,9.83,3.62
"[2,3,4,5]","['(5+3-2)×4','(5+4+3)×2']",true,11.5,0.8440000000000001,11.11,5.56
"[2,3,4,6]","['(3-2)×6×4','6×3+4+2','(4+2)×3+6','(6-3)×4×2','(6+4-2)×3','(4/2+6)×3','6×2+4×3','(6×2-4)×3','(6/2+3)×4']",true,6.63,0.978,7.04,2.3
"[2,3,4,7]","['(7+2-3)×4','(4+2)×(7-3)','(7+3)×2+4']",true,11.16,0.867,11.04,4.95
"[2,3,4,8]","['(8-4)×3×2','(4+2-3)×8','(8/2+4)×3']",true,8.12,0.929,8.89,4.11
"[2,3,4,9]","['9×4×2/3','(9+3)×(4-2)','(9+3)×4/2']",true,11.29,0.884,11.35,4.87
"[2,3,4,10]","['10×3-4-2','(10+2-4)×3','(10-4/2)×3','4×3+10+2','(4+3)×2+10']",true,10.06,0.919,10.47,4.39
"[2,3,4,11]","['(11-3-2)×4','(11+4-3)×2','(11+3)×2-4']",true,9.35,0.88,9.49,4.23
"[2,3,4,12]","['(3×2-4)×12','(12-3×2)×4','(12+4)×3/2','(4+2)×12/3','(4-3)×12×2','(12/3+2)×4']",true,7.6,0.9440000000000001,8.1,3.28
"[2,3,4,13]","['4×2+13+3','(13+3-4)×2','(13-3)×2+4']",true,9,0.912,9.39,4.01
"[2,3,5,5]","['5×5+2-3','(5+5-2)×3','(5+3)×(5-2)']",true,7.04,0.9620000000000001,7.55,2.89
"[2,3,5,6]","['6×5-3×2','5×3×2-6','(5+2-3)×6','(5-3)×6×2','(5+3)×6/2','(6/2+5)×3']",true,7.71,0.9540000000000001,8.19,3.01
"[2,3,5,7]","['7×3+5-2','(5-2)×7+3','5×3+7+2']",true,11.68,0.892,11.78,4.92
"[2,3,5,8]","['8×2+5+3','(5+3)×2+8','8/(2-5/3)']",true,21.78,0.735,18.5,8.02
"[2,3,5,9]","['(9-5)×3×2','9×3+2-5','(5-2)×9-3','(9×5+3)/2']",true,8.87,0.922,9.41,4.3
"[2,3,5,10]","['(10+2)×(5-3)','(10+5-3)×2']",true,13.48,0.802,12.18,5.42
"[2,3,5,11]","['(11+5)×3/2','5×2+11+3','(11+2-5)×3','(11-3)×(5-2)','11×2+5-3','5×3+11-2','(5-3)×11+2']",true,8.07,0.9490000000000001,8.58,3.32
"[2,3,5,12]","['12/(3-5/2)']",true,211.5,0.204,30.77,22.95
"[2,3,5,13]","['3×2+13+5','13×2+3-5','(5-3)×13-2']",true,12.22,0.858,12.12,5.45
"[2,3,6,6]","['(3+2)×6-6','6×6×2/3','(6+2)×(6-3)','(6+3)×2+6','(6×3-6)×2','(6/3+2)×6']",true,10.81,0.9209999999999999,11.24,4.42
"[2,3,6,7]","['7×6/2+3','7×3+6/2','(7×2-6)×3']",true,16.66,0.8109999999999999,15.37,6.84
"[2,3,6,8]","['(8+2)×3-6','6×3+8-2','(8-2)×3+6']",true,23.66,0.753,20.53,8.91
"[2,3,6,9]","['(9-3-2)×6','(6+2)×9/3','6×2+9+3','(9-3)×(6-2)','(3-2/6)×9','9×6/2-3','9×3-6/2','(9+6-3)×2']",true,10.29,0.9329999999999999,10.78,4.23
"[2,3,6,10]","['(10-6)×3×2','(10-3×2)×6','(10+6)×3/2','(10+2)×6/3','(10-2)×(6-3)','(6/3+10)×2']",true,9.25,0.924,9.51,3.82
"[2,3,6,11]","['(11-3)×6/2','(11-6/2)×3','11×2+6/3','11×6/3+2']",true,9.84,0.9009999999999999,10.09,4.48
"[2,3,6,12]","['3×2+12+6','6×3×2-12','12×3/2+6','12×3-6×2','(12+2-6)×3','(6-2)×3+12','(12-2)×3-6','6×3+12/2','(12+3)×2-6','(12-3)×2+6']",true,12.65,0.914,13.08,5.34
"[2,3,6,13]","['13+6+3+2','13×2-6/3','13×6/3-2']",true,10.98,0.898,11.06,4.6
"[2,3,7,7]","['7×2+7+3']",true,17.36,0.769,15.58,6.71
"[2,3,7,8]","['(7+2)×8/3','(8-2)×(7-3)','(8+7-3)×2','8/(7/3-2)']",true,14.29,0.805,13.14,5.77
"[2,3,7,9]","['(9+7)×3/2','(7-2)×3+9','(7×3-9)×2']",true,31.21,0.581,18.73,10.41
"[2,3,7,10]","['10×2+7-3','(10×7+2)/3']",true,17.64,0.77,15.37,7.02
"[2,3,7,11]","['(3+2)×7-11','3×2+11+7','(11-7)×3×2','11×3-7-2']",true,8.98,0.922,9.33,4.28
"[2,3,7,12]","['12+7+3+2','(7-3-2)×12','12/(7/2-3)','(7-3)×12/2']",true,7.47,0.948,7.91,3.06
"[2,3,7,13]","['7×2+13-3','(13+2-7)×3']",true,12.18,0.863,11.97,5.41
"[2,3,8,8]","['(8-3-2)×8','(8+8)×3/2','(8×2-8)×3']",true,13.49,0.799,12.26,6.01
"[2,3,8,9]","['(9-3×2)×8','(9-3)×8/2']",true,14.34,0.809,13.17,6.4
"[2,3,8,10]","['3×2+10+8','10×3+2-8']",true,16.25,0.8190000000000001,15.39,6.72
"[2,3,8,11]","['11+8+3+2','8×2+11-3','(11-2)×8/3','(11-3)×2+8']",true,9.59,0.927,10.18,4.06
"[2,3,8,12]","['(12-8)×3×2','(8-3×2)×12','8×3/2+12','(8-2)×12/3','(12-8/2)×3','(12/2-3)×8','(8×3-12)×2','(12/3+8)×2']",true,9.41,0.932,9.93,3.89
"[2,3,8,13]","['(13+3)×2-8']",true,100.37,0.316,24.58,13.57
"[2,3,9,9]","['3×2+9+9','(9+2)×3-9','9×2+9-3','(9/3+9)×2']",true,9.18,0.91,9.59,4.02
"[2,3,9,10]","['10+9+3+2','10×3/2+9','(9×2-10)×3','(10-2)×9/3']",true,10.79,0.899,11.02,4.36
"[2,3,9,12]","['(9-3)×2+12']",true,21.55,0.664,13.76,8.07
"[2,3,9,13]","['(13-9)×3×2','(13-2)×3-9','(13×3+9)/2']",true,10.02,0.877,10.28,5.32
"[2,3,10,10]","['(10-3)×2+10']",true,19.95,0.687,14.88,7.68
"[2,3,10,12]","['12×10/(3+2)','12×3-10-2','(10+2)×3-12','10×2+12/3','(10×2-12)×3','(10/2-3)×12','10×3-12/2']",true,11.33,0.867,11.45,4.21
"[2,3,10,13]","['13+10+3-2','(13-10/2)×3']",true,8.63,0.9359999999999999,9.12,3.96
"[2,3,11,11]","['11×3+2-11']",true,20.49,0.679,15.48,7.87
"[2,3,11,12]","['12+11+3-2']",true,6.28,0.95,6.85,2.83
"[2,3,11,13]","['(13+11)×(3-2)']",true,6.6,0.9179999999999999,7.06,2.91
"[2,3,12,12]","['12×12/3/2','(12+12)×(3-2)','(12×3+12)/2','(12/3-2)×12']",true,5.58,0.9740000000000001,5.96,1.97
"[2,3,12,13]","['13+12+2-3']",true,6.86,0.9590000000000001,7.36,2.65
"[2,3,13,13]","['13×3-13-2']",true,28.08,0.5870000000000001,18.45,9.93
"[2,4,4,4]","['4×4+4×2','(4+4-2)×4','(4/2+4)×4','(4+4+4)×2','(4×4-4)×2']",true,8.5,0.9470000000000001,8.96,3.27
"[2,4,4,5]","['(5+2)×4-4','(5×2-4)×4','(4+4)×(5-2)']",true,12.55,0.818,11.63,5.34
"[2,4,4,6]","['(4×2-4)×6','4×4+6+2','(4+4)×6/2','(6+4)×2+4']",true,11.54,0.9009999999999999,11.89,4.82
"[2,4,4,7]","['(7-4)×4×2','(7-2)×4+4']",true,9.56,0.894,9.7,4.33
"[2,4,4,8]","['(4+2)×(8-4)','8×4-4×2','4×4×2-8','(8+2-4)×4','(8+4)×(4-2)','(8+4)×4/2','(8-4/2)×4','8×2+4+4','(4+4)×2+8','(4/4+2)×8']",true,6.89,0.965,7.29,2.67
"[2,4,4,9]","['(9-2)×4-4']",true,17.19,0.732,13.77,7.61
"[2,4,4,10]","['(4-2)×10+4','10×4/2+4','4×4+10-2','(10+4)×2-4']",true,12.45,0.899,12.73,5.3
"[2,4,4,11]","['(4/4+11)×2','(11×4+4)/2']",true,7.92,0.845,7.85,3.57
"[2,4,4,12]","['(12-4-2)×4','4×2+12+4','12×4/(4-2)','(4-4/2)×12','12×2+4-4']",true,5.93,0.985,6.31,2.16
"[2,4,4,13]","['(13-4/4)×2','(13×4-4)/2']",true,7.75,0.856,7.86,3.55
"[2,4,5,5]","['(5+5)×2+4']",true,25.84,0.598,15.79,8.59
"[2,4,5,6]","['6×5-4-2','(4+2)×5-6','5×4+6-2','(6-2)×5+4','(5+4)×2+6']",true,11.29,0.9109999999999999,11.75,4.52
"[2,4,5,7]","['(7+5)×(4-2)','(7+5)×4/2']",true,13.07,0.7809999999999999,11.56,5.73
"[2,4,5,8]","['(8-5)×4×2','(4×2-5)×8','(5+2-4)×8','(5-4/2)×8','8×5/2+4','5×4+8/2','(5×4-8)×2']",true,7.04,0.9520000000000001,7.44,2.81
"[2,4,5,9]","['(4+2)×(9-5)','(9+2-5)×4','(9+5)×2-4']",true,9.8,0.863,9.82,4.76
"[2,4,5,10]","['5×2+10+4']",true,23.42,0.677,17.84,8.52
"[2,4,5,11]","['4×2+11+5','(11+5-4)×2']",true,10.13,0.873,10.25,4.77
"[2,4,5,12]","['(12-4)×(5-2)','(5-2)×4+12','(5-4)×12×2']",true,6.58,0.9470000000000001,7.02,2.86
"[2,4,5,13]","['13+5+4+2','(13-5-2)×4','(13+4-5)×2']",true,7.79,0.9470000000000001,8.37,3.35
"[2,4,6,6]","['(6+2-4)×6','(6+6)×(4-2)','(6+6)×4/2','(6-4/2)×6','(6-4)×6×2','(6×2-6)×4']",true,8.65,0.943,9.33,3.92
"[2,4,6,7]","['(6+2)×(7-4)','7×4+2-6','(6-2)×7-4','7×2+6+4','6/(2-7/4)']",true,10.58,0.899,10.66,4.37
"[2,4,6,8]","['8×6/(4-2)','8×6×2/4','8×4-6-2','(6+2)×4-8','6×2+8+4','(6-2)×4+8','(8/4+2)×6','(8+6)×2-4']",true,11.45,0.935,11.83,4.36
"[2,4,6,9]","['(9-6)×4×2','(4-2)×9+6','9×4/2+6','9×4-6×2','(9-6/2)×4','(4/6+2)×9','6/(9/4-2)']",true,8.66,0.9209999999999999,9.16,4.15
"[2,4,6,10]","['(4+2)×(10-6)','(10-4-2)×6','4×2+10+6','(10+2-6)×4','(10-4)×(6-2)','(10+2)×(6-4)','(10+6-4)×2']",true,7.95,0.94,8.41,3.4
"[2,4,6,11]","['11×2+6-4','(6-4)×11+2','(11+4)×2-6','4/(2-11/6)']",true,11.49,0.853,11.28,5.59
"[2,4,6,12]","['12+6+4+2','(4+2)×6-12','(4×2-6)×12','(12-4×2)×6','(4-2)×6+12','6×4/2+12','(6+2)×12/4','(12-4)×6/2','(6×4-12)×2','12/(2-6/4)']",true,10.44,0.9440000000000001,11.21,4.84
"[2,4,6,13]","['13×2+4-6','(6-4)×13-2','(13-4)×2+6','4/(13/6-2)']",true,10.06,0.872,10.26,5.09
"[2,4,7,7]","['(7+7)×2-4']",true,35.74,0.512,17.72,9.75
